time	V(vin)	V(vout)
2.619048504079593e-002	-9.708089e-001	-9.150658e-002
2.628460781719668e-002	-9.707024e-001	-9.235445e-002
2.636972497734988e-002	-9.706062e-001	-9.309654e-002
2.645305098869245e-002	-9.705119e-001	-9.380503e-002
2.654323221212482e-002	-9.704099e-001	-9.455800e-002
2.664737180870811e-002	-9.702922e-001	-9.541616e-002
2.676673920198304e-002	-9.701571e-001	-9.639003e-002
2.691447350518918e-002	-9.699900e-001	-9.758446e-002
2.709177183618268e-002	-9.697893e-001	-9.900427e-002
2.725847672922023e-002	-9.696006e-001	-1.003255e-001
2.741933624903709e-002	-9.694185e-001	-1.015889e-001
2.748471182445254e-002	-9.693444e-001	-1.020989e-001
2.750105571830640e-002	-9.693260e-001	-1.022259e-001
2.753374350601412e-002	-9.692889e-001	-1.024792e-001
2.754191545294105e-002	-9.692797e-001	-1.025425e-001
2.755825934679491e-002	-9.692612e-001	-1.026688e-001
2.759094713450264e-002	-9.692242e-001	-1.029213e-001
2.759542477150511e-002	-9.692191e-001	-1.029558e-001
2.760438004551007e-002	-9.692090e-001	-1.030248e-001
2.761677419871320e-002	-9.691949e-001	-1.031203e-001
2.762901980984663e-002	-9.691811e-001	-1.032145e-001
2.764776315743772e-002	-9.691598e-001	-1.033586e-001
2.766754777545142e-002	-9.691374e-001	-1.035108e-001
2.770711701147882e-002	-9.690926e-001	-1.038185e-001
2.775077261476185e-002	-9.690431e-001	-1.041752e-001
2.780778195839441e-002	-9.689786e-001	-1.046948e-001
2.787532364942865e-002	-9.689021e-001	-1.054157e-001
2.796622434006630e-002	-9.687991e-001	-1.065409e-001
2.806483984973466e-002	-9.686874e-001	-1.078762e-001
2.818050928977617e-002	-9.685563e-001	-1.094916e-001
2.819588819600763e-002	-9.685389e-001	-1.097050e-001
2.822664600847055e-002	-9.685040e-001	-1.101270e-001
2.823433546158628e-002	-9.684953e-001	-1.102316e-001
2.824971436781773e-002	-9.684779e-001	-1.104393e-001
2.825355909437560e-002	-9.684736e-001	-1.104911e-001
2.826124854749133e-002	-9.684649e-001	-1.105939e-001
2.827662745372279e-002	-9.684474e-001	-1.107976e-001
2.830738526618571e-002	-9.684125e-001	-1.111976e-001
2.834075471073363e-002	-9.683747e-001	-1.116183e-001
2.838574093615402e-002	-9.683237e-001	-1.121638e-001
2.842717575298429e-002	-9.682767e-001	-1.126425e-001
2.851004538664484e-002	-9.681829e-001	-1.135513e-001
2.859092275242173e-002	-9.680911e-001	-1.143970e-001
2.866813187546333e-002	-9.680036e-001	-1.151692e-001
2.875498642563118e-002	-9.679052e-001	-1.160089e-001
2.883847858988262e-002	-9.678105e-001	-1.167954e-001
2.893570488078102e-002	-9.677002e-001	-1.176938e-001
2.903831807166979e-002	-9.675838e-001	-1.186293e-001
2.916759673906037e-002	-9.674372e-001	-1.197967e-001
2.931886136309418e-002	-9.672656e-001	-1.211507e-001
2.952500498574813e-002	-9.670317e-001	-1.229780e-001
2.972815550190407e-002	-9.668011e-001	-1.247602e-001
2.989082926137531e-002	-9.666165e-001	-1.261721e-001
3.004675998874411e-002	-9.664394e-001	-1.275119e-001
3.021377025976913e-002	-9.662498e-001	-1.289329e-001
3.037435906526403e-002	-9.660674e-001	-1.302860e-001
3.053410647095746e-002	-9.658859e-001	-1.316193e-001
3.066223401522424e-002	-9.657403e-001	-1.326809e-001
3.067919492191378e-002	-9.657210e-001	-1.328207e-001
3.071311673529285e-002	-9.656825e-001	-1.330993e-001
3.073169041290928e-002	-9.656613e-001	-1.332517e-001
3.076883776814214e-002	-9.656191e-001	-1.335559e-001
3.077439122324594e-002	-9.656128e-001	-1.336014e-001
3.078549813345352e-002	-9.656003e-001	-1.336921e-001
3.080260938330545e-002	-9.655808e-001	-1.338318e-001
3.082255330922488e-002	-9.655581e-001	-1.339944e-001
3.084496255957811e-002	-9.655327e-001	-1.341776e-001
3.088592721578396e-002	-9.654861e-001	-1.345198e-001
3.092992698155152e-002	-9.654361e-001	-1.349180e-001
3.098798110200511e-002	-9.653701e-001	-1.355262e-001
3.104608570678382e-002	-9.653041e-001	-1.362636e-001
3.112959123150252e-002	-9.652091e-001	-1.375218e-001
3.122586235201271e-002	-9.650997e-001	-1.391223e-001
3.134214675942702e-002	-9.649674e-001	-1.411192e-001
3.135706519090327e-002	-9.649505e-001	-1.413725e-001
3.138690205385578e-002	-9.649166e-001	-1.418705e-001
3.139436126959390e-002	-9.649081e-001	-1.419936e-001
3.140927970107015e-002	-9.648911e-001	-1.422363e-001
3.143911656402266e-002	-9.648572e-001	-1.427163e-001
3.144657577976078e-002	-9.648487e-001	-1.428348e-001
3.146149421123703e-002	-9.648317e-001	-1.430668e-001
3.149133107418954e-002	-9.647978e-001	-1.435180e-001
3.152788938814776e-002	-9.647563e-001	-1.440491e-001
3.156299501176563e-002	-9.647163e-001	-1.445383e-001
3.158335838245574e-002	-9.646931e-001	-1.448102e-001
3.162408512383595e-002	-9.646468e-001	-1.453373e-001
3.162924236600646e-002	-9.646410e-001	-1.454026e-001
3.163955685034747e-002	-9.646292e-001	-1.455307e-001
3.165667138156889e-002	-9.646097e-001	-1.457406e-001
